iso3	pt	en	zh	pop	pop.y	pib	pib.y	adm0	landkm2	x0	x1	y0	y1
PAZ	Açores	Azores	亚速尔群岛	235374	0	4492	2016	PRT	2607.94	-31.284901	-25.012196	36.934312	39.728339
GEA	Adjara	Adjara	阿扎尔	376016	2013	2844.74	2013	GEO	2955.72	41.520763	42.586648	41.421814	41.902615
AFG	Afeganistão	Afghanistan	阿富汗	34124811	2017	64080	2016	AFG	642181.62	60.486778	74.892307	29.386605	38.473673
ZAF	África do Sul	South Africa	南非	54841552	2017	739100	2016	ZAF	1219826.73	16.469981	37.977794	-46.965753	-22.126452
WSB	Akrotiri	Akrotiri		7850	2017	314	2016	WSB	98.68	32.760102	33.030284	34.568549	34.700948
ALA	Åland	Åland Islands	奥兰群岛	27153	2017	1563	2016	FIN	942.05	19.513194	21.09669	59.904486	60.48078
ALB	Albânia	Albania	阿尔巴尼亚	3047987	2017	33900	2016	ALB	28335.85	19.272033	21.036679	39.637013	42.654814
DEU	Alemanha	Germany	德国	80594017	2017	3979000	2016	DEU	357673.82	5.85249	15.022059	47.271121	55.065334
AND	Andorra	Andorra	安道尔	85702	2017	3327	2015	AND	452.25	1.406456	1.765091	42.428677	42.649362
AGO	Angola	Angola	安哥拉	29310273	2017	189000	2016	AGO	1244654.31	11.669394	24.061714	-18.031405	-4.391204
AIA	Anguilla	Anguilla	安圭拉	17087	2017	175.4	2009	AIA	80.67	-63.428822	-62.972646	18.169094	18.601264
ACA	Antígua	Antigua	安地卡島	93361	2017	2139.6	2016	ATG	281.94	-61.894154	-61.667592	16.989244	17.168769
ATG	Antígua e Barbuda	Antigua and Barbuda	安提瓜和巴布达										
SAU	Arábia Saudita	Saudi Arabia	沙特阿拉伯	28571770	2017	1731000	2016	SAU	1921725.38	34.572765	55.637565	16.370958	32.121348
DZA	Argélia	Algeria	阿尔及利亚	40969443	2017	609400	2016	DZA	2308857.82	-8.682385	11.968861	18.975561	37.09394
ARG	Argentina	Argentina	阿根廷	44293293	2017	879400	2016	ARG	2784305.92	-73.588036	-53.661552	-55.052016	-21.786938
ARM	Arménia	Armenia	亞美尼亞	3045191	2017	26300	2016	ARM	29588.31	43.436294	46.602612	38.863701	41.290452
ABW	Aruba	Aruba	阿魯巴	115120	2017	2516	2009	ABW	169.77	-70.062408	-69.87682	12.41767	12.632148
JQI	Atol Johnston	Johnston Atoll	约翰斯顿环礁	231	2013	0	2016	UMI	2.46	-169.549509	-169.512766	16.721015	16.7626
MQI	Atol Midway	Midway Atoll	中途島	0	2017	0	2016	UMI	3.51	-177.389597	-177.321156	28.197659	28.215318
LQI	Atol Palmyra	Palmyra Atoll	帕邁拉環礁	0	2017	0	2016	UMI	7.05	-162.103627	-162.057607	5.869371	5.890245
AUS	Austrália	Australia	澳大利亚	23232413	2017	1189000	2016	AUS	7691175.09	112.919444	159.106456	-54.750421	-9.240167
AUT	Áustria	Austria	奥地利	8754413	2017	416600	2016	AUT	83993.2	9.521155	17.148338	46.378643	49.009774
AZE	Azerbaijão	Azerbaijan	阿塞拜疆	9961396	2017	167900	2016	AZE	86249.8	44.774559	50.625743	38.392645	41.890442
BHS	Bahamas	The Bahamas	巴哈马	329988	2017	9066	2016	BHS	12592.7	-79.59435	-72.746165	20.912399	26.928412
BHR	Bahrein	Bahrain	巴林	1410942	2017	66370	2016	BHR	584.94	50.448904	50.64566	25.789537	26.24258
KAB	Baikonur	Baikonur	拜科努爾	70000	2013	1155	2013	KAB	6501.49	62.800642	63.967134	45.565824	46.390839
BGD	Bangladesh	Bangladesh	孟加拉国	157826578	2017	628400	2016	BGD	136903.68	88.02179	92.642851	20.738715	26.623544
BRB	Barbados	Barbados	巴巴多斯	292336	2017	4804	2016	BRB	444.22	-59.654205	-59.42691	13.051174	13.34455
ACB	Barbuda	Barbuda	巴布達島	1370	2013	31.4	2013	ATG	169.54	-61.87385	-61.727773	17.545559	17.727688
USG	Base Naval da Baía de Guantánamo	Guantanamo Bay Naval Base		7000	1999	280	1999	USG	65.35	-75.232859	-75.09495	19.891142	19.971584
BEL	Bélgica	Belgium	比利時										
BLZ	Belize	Belize	伯利兹	360346	2017	3088	2016	BLZ	22299.42	-89.236512	-87.78307	15.879652	18.490759
BEN	Benim	Benin	贝宁	11038805	2017	24310	2016	BEN	116113.31	0.759881	3.837419	6.213894	12.399244
BMU	Bermudas	Bermuda	百慕大	70864	2017	5198	2013	BMU	62.3	-64.885994	-64.647631	32.248077	32.388658
BLR	Bielorrússia	Belarus	白罗斯	9549747	2017	165400	2016	BLR	207499.13	23.165645	32.719532	51.235168	56.156806
BOL	Bolívia	Bolivia	玻利維亞	11138234	2017	78350	2016	BOL	1086810.65	-69.666492	-57.465661	-22.897258	-9.679821
BIH	Bósnia e Herzegovina	Bosnia and Herzegovina	波斯尼亚和黑塞哥维那										
BWA	Botsuana	Botswana	波札那	2214858	2017	35900	2016	BWA	579029.2	19.978346	29.350074	-26.891794	-17.781808
PNB	Bougainville	Bougainville	布干维尔省	175160	0	710.3	2016	PNG	9403.81	154.134532	155.96754	-6.876642	-3.206315
BFR	Brabante Flamengo	Flemish Brabant	弗拉芒-布拉班特省	6251983	2017	276708.97	2016	BEL	13518.17	2.5218	5.910158	50.688726	51.496238
BWR	Brabante Valão	Walloon Brabant	瓦隆-布拉班特省	3456775	2017	152994.76	2016	BEL	16987.13	2.842193	6.374525	49.495223	50.811613
BRA	Brasil	Brazil	巴西	207353391	2017	3081000	2016	BRA	8472669.68	-74.018475	-28.877065	-33.74228	5.267225
BRN	Brunei	Brunei	文莱	443593	2017	33730	2016	BRN	5716.69	113.99879	115.360741	4.016681	5.057196
BGR	Bulgária	Bulgaria	保加利亚	7101510	2017	143100	2016	BGR	112760.69	22.345023	28.603526	41.238104	44.228435
BFA	Burkina Faso	Burkina Faso	布吉納法索	20107509	2017	32990	2016	BFA	272769.4	-5.522578	2.390169	9.391883	15.079908
BDI	Burundi	Burundi	蒲隆地	11466756	2017	7892	2016	BDI	27041.27	28.986892	30.833962	-4.463344	-2.303062
BTN	Butão	Bhutan	不丹	758288	2017	6432	2016	BTN	40365.36	88.730067	92.088776	26.696149	28.358399
CPV	Cabo Verde	Cape Verde	佛得角	560899	2017	3583	2016	CPV	3883.14	-25.360422	-22.666575	14.803941	17.196601
CMR	Camarões	Cameroon	喀麦隆	24994885	2017	77240	2016	CMR	464319.28	8.505056	16.207723	1.654551	13.081141
KHM	Camboja	Cambodia	柬埔寨	16204486	2017	58940	2016	KHM	181059.61	102.313424	107.610516	10.415774	14.704582
CAN	Canadá	Canada	加拿大	35623680	2017	1674000	2016	CAN	9945527.76	-141.005564	-52.616607	41.669086	83.116523
QAT	Catar	Qatar	卡塔尔	2314307	2017	334500	2016	QAT	11150.11	50.750987	51.616547	24.559872	26.160102
KAZ	Cazaquistão	Kazakhstan	哈萨克斯坦	18556698	2017	460700	2016	KAZ	2714263.37	46.478279	87.323796	40.584656	55.43455
TCD	Chade	Chad	乍得	12075985	2017	30590	2016	TCD	1266282.34	13.449184	23.984406	7.455567	23.44472
CHL	Chile	Chile	智利	17789267	2017	436100	2016	CHL	736592.75	-109.453725	-66.420806	-55.918504	-17.506588
CHN	China	People's Republic of China	中华人民共和国	1379302771	2017	21140000	2016	CHN	9374585.83	73.602256	134.772579	18.169338	53.569444
CYP	Chipre	Cyprus	賽普勒斯	1221549	2017	29260	2016	CYP	5395.02	32.271739	34.099132	34.625019	35.187082
WEB	Cisjordânia	West Bank	約旦河西岸地區	2747943	2017	21220	2014	PSE	5945.62	34.867153	35.572536	31.34491	32.54264
BLM	Coletividade de São Bartolomeu	Saint-Barthélemy	聖巴泰勒米島	7184	2017	255	2016	BLM	24.42	-62.86734	-62.791656	17.881985	17.929145
COL	Colômbia	Colombia	哥伦比亚	47698524	2017	688000	2016	COL	1135117.88	-81.723704	-66.875061	-4.236484	13.578355
COM	Comores	Comoros	葛摩	808080	2017	1259	2016	COM	1672.23	43.213227	44.529063	-12.380304	-11.361261
COG	Congo	Republic of the Congo	刚果共和国	4954674	2017	30270	2016	COG	344888.68	11.114016	18.642407	-5.019631	3.708276
PRK	Coreia do Norte	North Korea	朝鲜民主主义人民共和国	25248140	2013	40000	2016	PRK	121237.31	124.211316	130.699962	37.675605	43.01027
KOR	Coreia do Sul	South Korea	大韩民国	51181299	2017	1929000	2016	KOR	97446.75	124.613617	131.862522	33.197577	38.578074
CIV	Costa do Marfim	Ivory Coast	科特迪瓦	24184810	2017	87120	2016	CIV	320677.16	-8.61872	-2.506328	4.344062	10.726478
CRI	Costa Rica	Costa Rica	哥斯达黎加	4930258	2017	79260	2016	CRI	51144.34	-87.117665	-82.562837	5.515082	11.209937
HRV	Croácia	Croatia	克罗地亚	4292095	2017	94240	2016	HRV	55077.44	13.501475	19.407838	42.416327	46.546979
CUB	Cuba	Cuba	古巴	11147407	2017	132900	2016	CUB	109929.18	-84.949615	-74.132883	19.827826	23.26557
CUW	Curaçao	Curaçao	库拉索	149648	2017	3128	2012	CUW	463.25	-69.171742	-68.739735	12.041327	12.391506
IRK	Curdistão iraquiano	Iraqi Kurdistan	伊拉克庫德斯坦	4690939	2013	71419.56	2013	IRQ	38248.3	42.357238	46.327074	34.512803	37.375498
ESB	Dekelia	Dhekelia Cantonment		7850	2013	314	2013	ESB	127.42	33.674099	33.921474	34.937893	35.118994
DNK	Dinamarca	Denmark	丹麦	5605948	2017	264800	2016	DNK	42696.43	8.094005	15.151378	54.56859	57.751166
BHB	Distrito de Brčko	Brčko District	布爾奇科特區	92935.5	2017	1024.99	2016	BIH	153.53	18.748038	18.975409	44.7448	44.892233
DJI	Djibouti	Djibouti	吉布提	865267	2017	3345	2016	DJI	21847.61	41.74911	43.418712	10.929825	12.707913
DMA	Dominica	Dominica	多米尼克	73897	2017	812	2016	DMA	730.31	-61.488922	-61.249257	15.201809	15.633857
EGY	Egito	Egypt	埃及	97041072	2017	1105000	2016	EGY	1001078.55	24.688343	36.899181	21.994369	31.65648
SLV	El Salvador	El Salvador	萨尔瓦多	6172011	2017	54790	2016	SLV	20539.23	-90.114779	-87.693194	13.158637	14.445373
ARE	Emirados Árabes Unidos	United Arab Emirates	阿拉伯联合酋长国	6072475	2017	667200	2016	ARE	71084.64	51.569347	56.383637	22.620946	26.074792
ECU	Equador	Ecuador	厄瓜多尔	16290913	2017	182400	2016	ECU	255014.21	-92.011586	-75.227264	-5.011373	1.664374
ERI	Eritreia	Eritrea	厄立特里亚	5918919	2017	9169	2016	ERI	122537.74	36.423647	43.123871	12.360022	18.004828
SCT	Escócia	Scotland	蘇格蘭	5390179.96	2017	231605.83	2016	GBR	78302.34	-13.691314	-0.754791	54.632961	60.847886
SVK	Eslováquia	Slovakia	斯洛伐克	5445829	2017	168800	2016	SVK	48457.79	16.84448	22.539637	47.750006	49.60178
SVN	Eslovénia	Slovenia	斯洛文尼亚	1972126	2017	68350	2016	SVN	20327.28	13.365261	16.515302	45.423637	46.863962
ESP	Espanha	Spain	西班牙	48958159	2017	1690000	2016	ESP	506884.12	-18.167226	4.337087	27.642239	43.793443
USA	Estados Unidos	United States of America	美国	326625791	2017	18560000	2016	USA	9464330.07	172.476085	-66.891916	18.906117	71.412502
EST	Estónia	Estonia	爱沙尼亚	1251581	2017	38700	2016	EST	45819.04	21.832367	28.186475	57.515819	59.670885
SWZ	eSwatini	eSwatini	斯威士兰	1467152	2017	11060	2016	SWZ	17111.85	30.782906	32.117398	-27.316264	-25.735999
ETH	Etiópia	Ethiopia	埃塞俄比亚	105350020	2017	174700	2016	ETH	1127375.98	32.9898	47.979169	3.403333	14.879532
GAZ	Faixa de Gaza	Gaza Strip	加沙地带	1795183	2017	0.77	2016	PSE	333.29	34.200269	34.530429	31.211449	31.583141
BHF	Federação da Bósnia e Herzegovina	Federation of Bosnia and Herzegovina	波士尼亞與赫塞哥維納聯邦	2325003.96	2017	25642.58	2016	BIH	28814.18	15.716074	19.057069	42.574393	45.218533
FJI	Fiji	Fiji	斐濟	920938	2017	8374	2016	FJI	18930.08	174.588878	-178.216135	-21.711114	-12.475274
PHL	Filipinas	Philippines	菲律宾	104256076	2017	801900	2016	PHL	293237.49	116.954926	126.617686	4.655707	21.122382
FIN	Finlândia	Finland	芬兰	5491218	2017	224137	2016	FIN	333059.06	20.623165	31.569525	59.811225	70.07531
FRA	França	France	法国	64874402.21	2017	2679203.12	2016	FRA	547842.75	-5.132802	9.559581	41.365912	51.087541
GAB	Gabão	Gabon	加蓬	1772255	2017	35980	2016	GAB	259968.48	8.695567	14.498991	-3.936856	2.322495
GMB	Gâmbia	The Gambia	冈比亚	2051363	2017	3387	2016	GMB	10500.9	-16.829701	-13.818713	13.065009	13.819984
GHA	Gana	Ghana	迦納	27499924	2017	120800	2016	GHA	238668.68	-3.262509	1.187968	4.737128	11.162937
GEO	Geórgia	Georgia	格鲁吉亚	4550314	2017	34425.26	2016	GEO	66615	39.985976	46.694803	41.044111	43.575843
GIB	Gibraltar	Gibraltar	直布罗陀	29396	2017	2044	2014	GIB	3.69	-5.358387	-5.338773	36.1105	36.14112
KAS	Glaciar de Siachen	Siachen Glacier	锡亚琴冰川	6000	2013	15	2013	KAS	2085.85	76.777351	77.800346	35.110442	35.647799
GRD	Granada	Grenada	格林纳达	111724	2017	1511	2016	GRD	347.26	-61.790517	-61.42162	12.002834	12.529731
GRC	Grécia	Greece	希腊	10768477	2017	290500	2016	GRC	131353.44	19.626475	28.239757	34.815009	41.750476
GRL	Gronelândia	Greenland	格陵兰	57713	2017	2173	2015	GRL	2154380.79	-73.05724	-11.37682	59.792629	83.634101
GLP	Guadalupe	Guadeloupe	瓜德罗普	481238.05	2017	4219.28	2016	FRA	1657.29	-61.797841	-60.989247	15.846991	16.513088
GUM	Guam	Guam	關島	167358	2017	4882	2013	GUM	564.2	144.624197	144.952159	13.241034	13.65412
GTM	Guatemala	Guatemala	危地马拉	15460732	2017	131800	2016	GTM	108811.25	-92.246257	-88.220937	13.731404	17.81602
GGY	Guernsey	Guernsey	根西岛	66502	2017	3465	2015	GGY	73.98	-2.673451	-2.170318	49.411566	49.731391
GUY	Guiana	Guyana	圭亚那	737718	2017	6093	2016	GUY	211213.7	-61.396713	-56.481819	1.18582	8.55801
GUF	Guiana Francesa	French Guiana	法屬圭亞那	212050.38	2017	1862.83	2016	FRA	83183.7	-54.615292	-51.649037	2.110673	5.744765
GIN	Guiné	Guinea	几内亚	12413867	2017	16080	2016	GIN	244301.98	-15.081125	-7.662447	7.190208	12.673388
GNQ	Guiné Equatorial	Equatorial Guinea	赤道几内亚	778358	2017	31770	2016	GNQ	26671.69	5.61199	11.336341	-1.475681	3.772406
GNB	Guiné-Bissau	Guinea-Bissau	幾內亞比索	1792338	2017	2851	2016	GNB	32829.63	-16.728437	-13.660712	10.927639	12.679434
HTI	Haiti	Haiti	海地	10646714	2017	19340	2016	HTI	26891.57	-74.489166	-71.639111	18.025946	20.089789
NLD	Holanda	Holland	荷蘭										
HND	Honduras	Honduras	洪都拉斯	9038741	2017	43190	2016	HND	112236.73	-89.363791	-83.130444	12.979777	17.418647
HKG	Hong Kong	Hong Kong	香港	7191503	2017	427400	2016	HKG	1036.2	113.837332	114.401296	22.177069	22.563946
HUN	Hungria	Hungary	匈牙利	9850845	2017	267600	2016	HUN	93200.95	16.094035	22.877601	45.741343	48.569233
YEM	Iémen	Yemen	也门	28036829	2017	73450	2016	YEM	453075.76	42.545746	54.540294	12.111444	18.995638
BJN	Ilha Baixo Novo	Bajo Nuevo Bank	巴霍努埃沃礁	0	2017	0	2016	BJN	0.04	-79.989288	-79.986399	15.794176	15.79621
FQI	Ilha Baker	Baker Island	貝克島	0	2017	0	2016	UMI	0.71	-176.485829	-176.459177	0.190334	0.225898
BVT	Ilha Bouvet	Bouvet Island	布韦岛	0	2017	0	2016	NOR	55.21	3.345551	3.486664	-54.462498	-54.380141
CXR	Ilha Christmas	Christmas Island	圣诞岛	2205	2016	33.08	2016	AUS	98.72	105.581798	105.714692	-10.566013	-10.430841
CLP	Ilha de Clipperton	Clipperton Island	克利珀頓島	0	2017	0	2016	CLP	5	-109.234242	-109.210357	10.281562	10.311021
IMN	Ilha de Man	Isle of Man	马恩岛	88815	2017	7428	2014	IMN	574.82	-4.790151	-4.31192	54.056952	54.419013
BQI	Ilha de Navassa	Navassa Island	納弗沙島	0	2017	0	2016	UMI	4.83	-75.030832	-75.002634	18.395006	18.417263
HMD	Ilha Heard e Ilhas McDonald	Heard Island and McDonald Islands	赫德島和麥克唐納群島	0	2017	0	2016	HMD	394.86	73.236013	73.812185	-53.19256	-52.961602
HQI	Ilha Howland	Howland Island	豪蘭島	0	2017	0	2016	UMI	0.48	-176.640492	-176.636098	0.790188	0.806952
DQI	Ilha Jarvis	Jarvis Island	賈維斯島	0	2017	0	2016	UMI	2.34	-160.029978	-160.008901	-0.388767	-0.372491
NFK	Ilha Norfolk	Norfolk Island	诺福克岛	2210	2014	33.15	2016	NFK	41.15	167.91212	167.996349	-29.080011	-28.997491
SER	Ilha Serranilla	Serranilla Bank	塞拉纳浅滩	0	0	0	0	SER	0.11	-78.640411	-78.636871	15.862087	15.867296
WQI	Ilha Wake	Wake Island	威克島	68	2017	0	2016	UMI	3.92	166.619395	166.652354	19.27558	19.305732
ATC	Ilhas Ashmore e Cartier	Ashmore and Cartier Islands	阿什莫尔和卡捷岛	0	2017	0	2016	ATC	2.7	123.575043	123.597748	-12.438572	-12.426609
CYM	Ilhas Cayman	Cayman Islands	開曼群島	58441	2017	2507	2014	CYM	309.2	-81.416542	-79.726643	19.263864	19.757631
CCK	Ilhas Cocos	Cocos	科科斯（基林）群島	596	2014	8.94	2016	AUS	13.21	96.821544	96.921072	-12.199965	-12.12656
COK	Ilhas Cook	Cook Islands	库克群岛	9290	2017	244.1	2010	COK	191.13	-165.824534	-157.312815	-21.938897	-8.94671
CSI	Ilhas do Mar de Coral	Coral Sea Islands	珊瑚海群岛	4	2017	0	2016	CSI	0.02	154.38852	154.391287	-21.030043	-21.028741
FRO	Ilhas Feroe	Faroe Islands	法罗群岛	50730	2017	2001	2014	FRO	1328.52	-7.644154	-6.275787	61.39411	62.398912
